Machine_Type,pressure,Temperature,Vibration,Machineruntime,Date,Component,Maintenancetype,Actiontaken,Failure type,Downtime (hrs)
Drill,76.5823,11.22385593,788.7244,18,20-09-2023,Coupling,Preventive,Flushed,No Failure,8.8
Mill,19.1218,45.73200515,564.3532,18,21-11-2023,Shaft,Corrective,Checked,Misalignment,1.6
Mill,77.2661,56.66416449,921.9947,12,22-04-2023,Shaft,Predictive,Lubricated,Misalignment,2.7
Drill,35.2424,39.80014786,845.5059,9,22-05-2024,Lubrication,Corrective,Tightened,No Failure,2.6
Mill,52.3668,87.34143022,886.7851,12,16-11-2023,Gearbox,Corrective,Lubricated,No Failure,6
Mill,34.3502,85.74501303,891.7202,18,29-08-2024,Shaft,Predictive,Repaired,Misalignment,1.6
Drill,76.9002,14.03866826,789.4294,18,06-01-2023,Bearing,Preventive,Checked,Misalignment,1.6
Mill,66.2487,97.21638763,514.4144,9,25-08-2024,Coupling,Preventive,Checked,Wear and tear,3.8
Drill,65.8826,77.57457851,829.3295,18,24-11-2024,Coupling,Corrective,Tightened,Overheating,5.7
Drill,52.4589,74.6939561,958.8831,11,21-10-2024,Shaft,Corrective,Tightened,Bearing failure,6.6
Mill,27.3218,24.15596515,876.7768,16,06-06-2023,Lubrication,Preventive,Aligned,Leakage,8.3
Mill,96.3792,85.0583305,903.5762,10,06-02-2023,Lubrication,Preventive,Replaced,Bearing failure,3.5
Drill,97.4175,14.29579448,735.6763,7,28-11-2023,Shaft,Predictive,Cleaned,Misalignment,4.3
Drill,54.9148,38.24328007,995.4452,8,21-07-2023,Shaft,Corrective,Lubricated,Wear and tear,3.8
Mill,19.1921,76.61835874,586.6583,19,01-08-2023,Gearbox,Preventive,Flushed,Wear and tear,5.7
Lathe,90.0423,43.66138231,941.4168,15,18-05-2024,Coupling,Corrective,Refilled,No Failure,3.9
Drill,96.4936,14.9369309,667.1718,15,02-08-2024,Shaft,Preventive,Flushed,No Failure,8.3
Lathe,74.988,56.33134228,535.6335,16,06-04-2024,Shaft,Predictive,Flushed,No Failure,0.8
Drill,32.7529,56.47949842,663.3332,12,08-01-2023,Motor,Corrective,Checked,No Failure,5.3
Drill,74.7371,84.61120849,849.8334,9,07-06-2024,Gearbox,Preventive,Cleaned,Overheating,2.8
Drill,42.2984,92.16428414,541.0514,8,05-03-2023,Lubrication,Preventive,Tightened,Overheating,6.6
Drill,47.4518,41.16576141,920.1482,8,01-03-2024,Lubrication,Preventive,Repaired,Wear and tear,2.8
Lathe,74.2793,18.4398963,964.0608,8,04-11-2024,Coupling,Predictive,Refilled,Bearing failure,6.9
Drill,46.6611,60.51783912,746.2286,14,25-05-2024,Bearing,Preventive,Lubricated,Overheating,0.6
Drill,62.0411,70.64516802,731.1492,14,12-02-2023,Motor,Corrective,Lubricated,Overheating,0.8
Lathe,28.7092,91.25285636,673.0866,7,08-04-2023,Motor,Preventive,Tightened,Leakage,5.5
Drill,76.6418,70.61022936,715.655,15,21-01-2023,Gearbox,Predictive,Lubricated,Bearing failure,4.7
Drill,83.988,47.55021418,921.4432,9,11-03-2023,Gearbox,Corrective,Aligned,Bearing failure,7.1
Drill,88.0057,80.35693928,871.059,12,31-10-2024,Shaft,Preventive,Flushed,Wear and tear,2.3
Mill,45.4466,98.06160735,676.2862,6,02-10-2024,Gearbox,Preventive,Tightened,No Failure,5.1
Mill,12.1147,19.4374378,641.7419,19,01-12-2024,Coupling,Preventive,Inspected,Leakage,2.3
Drill,50.637,91.64889382,520.1281,6,02-11-2024,Lubrication,Corrective,Replaced,Bearing failure,4.6
Mill,14.1703,88.86878844,904.1757,7,17-05-2024,Coupling,Preventive,Tightened,Bearing failure,0.2
Drill,72.9201,38.47248632,733.6451,8,18-09-2023,Gearbox,Preventive,Replaced,Misalignment,4.7
Lathe,17.0316,60.81098377,527.7348,7,28-08-2023,Shaft,Predictive,Cleaned,Overheating,1
Mill,83.7476,21.60364045,824.819,10,20-12-2023,Lubrication,Preventive,Lubricated,Bearing failure,0.4
Lathe,20.8777,42.08101786,710.9429,14,18-03-2024,Coupling,Predictive,Cleaned,Bearing failure,8.8
Drill,28.1079,17.26060204,679.6933,8,12-05-2024,Shaft,Predictive,Flushed,Overheating,3.4
Mill,41.928,79.87641685,779.7015,11,20-01-2023,Bearing,Corrective,Cleaned,No Failure,3
Lathe,36.2927,29.58868121,921.8936,9,16-05-2024,Lubrication,Predictive,Lubricated,Bearing failure,6.3
Lathe,11.7787,84.85763215,910.2998,8,26-05-2024,Coupling,Preventive,Aligned,No Failure,5
Drill,81.1859,86.33693213,695.0682,17,30-03-2024,Lubrication,Preventive,Replaced,Leakage,6.7
Drill,20.131,45.92603857,674.903,14,21-03-2024,Shaft,Predictive,Lubricated,Wear and tear,2.9
Lathe,44.5577,13.11455783,743.2394,19,08-09-2024,Bearing,Preventive,Checked,No Failure,3.9
Mill,95.57,30.14129107,902.6398,10,22-11-2023,Coupling,Preventive,Lubricated,Misalignment,2.9
Lathe,72.9707,64.01996526,692.0638,7,28-02-2023,Coupling,Predictive,Replaced,Misalignment,4
Mill,31.2255,83.53401778,713.3824,12,20-07-2024,Bearing,Corrective,Aligned,Overheating,6.3
Drill,48.7585,56.04790259,781.4813,17,24-02-2023,Coupling,Corrective,Checked,Bearing failure,3.8
Mill,19.141,10.923281,668.0925,15,25-11-2024,Bearing,Corrective,Inspected,Wear and tear,2.6
Lathe,81.1654,63.79827012,593.3074,13,30-08-2024,Gearbox,Predictive,Lubricated,Wear and tear,3.8
Drill,23.582,60.69428394,544.2885,6,18-02-2024,Gearbox,Predictive,Aligned,No Failure,1
Drill,22.4558,91.91859482,590.9298,17,21-07-2024,Motor,Corrective,Cleaned,No Failure,1.2
Mill,21.1295,84.19175537,795.372,9,23-05-2024,Gearbox,Predictive,Flushed,Wear and tear,4.7
Drill,47.2379,34.0972783,662.4962,16,26-03-2024,Shaft,Corrective,Aligned,Overheating,4.9
Drill,16.6422,57.01014239,752.3487,10,07-03-2024,Coupling,Predictive,Repaired,Wear and tear,0.6
Mill,14.3418,33.06538514,971.9634,10,09-06-2024,Lubrication,Corrective,Cleaned,Overheating,7.9
Drill,63.7047,64.01163554,930.9839,7,25-12-2024,Motor,Corrective,Refilled,Overheating,0.8
Lathe,63.9865,75.06751214,731.1853,14,27-03-2024,Bearing,Predictive,Lubricated,Bearing failure,1.9
Drill,55.2054,21.90225392,815.944,11,05-08-2024,Gearbox,Predictive,Checked,Overheating,2
Drill,15.7875,59.95473946,730.2599,10,28-06-2024,Lubrication,Corrective,Flushed,Misalignment,7.3
Mill,38.24,76.54211606,854.315,17,12-07-2024,Lubrication,Predictive,Lubricated,Wear and tear,4.3
Lathe,26.4487,69.58731009,932.0545,12,04-11-2023,Bearing,Preventive,Inspected,Leakage,4.4
Lathe,55.664,50.86045957,639.3921,16,23-02-2023,Coupling,Predictive,Inspected,Misalignment,1.6
Mill,36.7947,42.36165585,720.5929,7,03-12-2023,Lubrication,Preventive,Flushed,Misalignment,6
Lathe,37.8231,75.66373094,637.0307,14,24-05-2024,Motor,Predictive,Lubricated,Leakage,5.4
Lathe,88.4943,33.49277816,604.0875,15,03-10-2024,Shaft,Predictive,Tightened,Misalignment,1.4
Mill,18.5273,95.43578222,669.4303,12,19-04-2023,Gearbox,Predictive,Tightened,Leakage,8.7
Mill,88.0776,88.12242079,975.8016,9,11-04-2023,Motor,Predictive,Lubricated,Bearing failure,7.9
Mill,91.3919,35.79847841,550.5895,14,07-02-2024,Gearbox,Predictive,Cleaned,Leakage,5.1
Drill,79.5932,25.61776518,675.8756,13,18-04-2024,Shaft,Preventive,Refilled,Wear and tear,0.1
Lathe,76.4316,57.59074214,917.5643,17,10-07-2023,Gearbox,Corrective,Tightened,Leakage,5.2
Drill,45.5975,52.38503803,864.0894,18,15-09-2024,Shaft,Predictive,Lubricated,Overheating,8.4
Mill,91.4948,44.60077959,833.9773,6,26-09-2023,Gearbox,Predictive,Inspected,Leakage,4
Mill,34.6284,90.95696988,514.9475,16,13-11-2024,Lubrication,Preventive,Cleaned,Bearing failure,1.2
Drill,68.3741,31.55894001,838.4879,19,25-12-2024,Lubrication,Preventive,Replaced,Bearing failure,6.2
Mill,66.227,68.46116714,614.8461,8,08-10-2024,Bearing,Corrective,Aligned,Leakage,6.9
Mill,39.4667,89.27073175,622.6857,19,03-01-2023,Coupling,Preventive,Inspected,No Failure,7.6
Mill,30.08,11.67061359,681.0382,14,25-12-2023,Shaft,Corrective,Lubricated,Leakage,1.6
Mill,67.9876,86.8948109,753.1709,8,19-06-2024,Coupling,Corrective,Repaired,Misalignment,1.9
Drill,65.1112,51.13112644,718.7338,17,16-11-2024,Bearing,Preventive,Refilled,Overheating,8.3
Lathe,90.7613,39.51961024,945.7424,17,01-12-2024,Lubrication,Corrective,Tightened,No Failure,2.5
Mill,74.5727,37.39774381,703.687,7,26-06-2023,Bearing,Predictive,Refilled,Misalignment,3
Mill,74.3135,47.76986847,731.7536,10,20-05-2024,Lubrication,Preventive,Cleaned,No Failure,5.8
Drill,54.0791,17.22918325,701.4327,13,28-09-2023,Gearbox,Preventive,Checked,No Failure,8.2
Mill,89.5823,48.08157729,500.7136,13,10-02-2024,Gearbox,Corrective,Lubricated,No Failure,2
Lathe,85.3737,16.19159949,944.3609,6,27-04-2023,Coupling,Predictive,Flushed,No Failure,6.5
Lathe,96.9656,94.65218671,893.5255,11,23-05-2023,Motor,Preventive,Flushed,Bearing failure,1.4
Drill,88.0525,95.5817403,619.3866,11,27-05-2024,Coupling,Predictive,Replaced,No Failure,2.9
Mill,67.5891,94.1732093,860.7748,12,19-04-2023,Shaft,Corrective,Inspected,No Failure,3.9
Mill,67.3137,65.97166332,709.5683,17,07-05-2024,Gearbox,Predictive,Refilled,Bearing failure,2.9
Lathe,24.7597,57.72230484,904.7625,15,14-09-2024,Motor,Preventive,Cleaned,Leakage,7
Drill,23.5364,51.96881535,563.7809,11,06-12-2023,Coupling,Predictive,Tightened,No Failure,8.7
Mill,33.285,60.68824256,856.0598,13,22-04-2023,Gearbox,Predictive,Aligned,No Failure,4.4
Drill,96.4583,25.51013564,998.16,18,10-01-2024,Gearbox,Corrective,Checked,Leakage,7.2
Lathe,12.3033,65.24050468,931.5523,17,23-04-2023,Motor,Preventive,Flushed,Leakage,4.6
Drill,51.5195,34.47440291,532.82,16,07-06-2024,Gearbox,Predictive,Flushed,Overheating,0.4
Drill,47.421,63.25249444,895.4632,18,28-08-2024,Gearbox,Preventive,Replaced,No Failure,3.3
Mill,50.0094,69.19587544,919.1574,11,10-07-2024,Bearing,Corrective,Lubricated,Misalignment,2.9
Mill,64.1564,59.29911461,966.1946,12,23-11-2023,Coupling,Preventive,Refilled,Wear and tear,8.8
Mill,14.3626,21.4348816,981.7157,10,14-10-2024,Lubrication,Predictive,Inspected,No Failure,6.6
Drill,50.3232,63.71136976,769.7649,17,14-12-2024,Motor,Predictive,Cleaned,Leakage,1.1
Drill,45.6765,84.31316455,841.8127,12,13-05-2023,Gearbox,Predictive,Inspected,No Failure,4.2
Lathe,60.733,11.62084466,570.3035,13,26-08-2024,Motor,Corrective,Tightened,Misalignment,5.8
Mill,79.5735,35.99420193,835.7558,11,01-01-2024,Motor,Corrective,Tightened,No Failure,4
Mill,60.8727,52.96339008,820.7911,13,16-04-2023,Coupling,Predictive,Refilled,Misalignment,4.5
Lathe,80.4155,52.551297,910.6921,18,02-12-2024,Lubrication,Preventive,Tightened,Bearing failure,9
Mill,29.5745,81.33888398,927.2408,10,19-06-2024,Coupling,Preventive,Refilled,Overheating,2.7
Lathe,50.6349,60.83148238,601.6738,13,23-08-2023,Lubrication,Predictive,Lubricated,Wear and tear,1.7
Mill,87.2908,32.09928617,768.4844,9,30-11-2024,Bearing,Corrective,Checked,No Failure,8.1
Lathe,69.6273,71.57114448,880.4079,17,20-09-2023,Gearbox,Preventive,Inspected,Overheating,1
Drill,63.9471,37.03055666,628.7394,19,30-04-2024,Bearing,Preventive,Tightened,Wear and tear,8.4
Drill,15.4078,75.74174703,592.5449,18,22-01-2023,Coupling,Predictive,Refilled,Wear and tear,6.3
Lathe,36.8048,77.57909503,793.0846,17,03-10-2024,Gearbox,Preventive,Refilled,Bearing failure,6.2
Lathe,76.5636,20.64129137,892.4474,6,23-04-2023,Motor,Preventive,Checked,Bearing failure,3.4
Lathe,95.6985,21.10864148,559.7335,12,20-10-2024,Lubrication,Predictive,Tightened,Overheating,3.4
Lathe,77.8602,81.45377912,826.8536,9,05-02-2023,Gearbox,Predictive,Inspected,Overheating,8
Mill,72.6527,11.28009195,668.1328,10,08-08-2024,Motor,Corrective,Inspected,Misalignment,8.6
Drill,44.0526,82.79086674,670.9546,16,28-07-2024,Lubrication,Predictive,Repaired,No Failure,4.2
Mill,93.5635,48.8336717,697.4646,15,07-05-2024,Bearing,Preventive,Lubricated,Leakage,2.7
Lathe,17.3287,14.48383892,781.141,18,03-04-2024,Lubrication,Preventive,Tightened,No Failure,7.4
Lathe,72.7902,62.85789298,786.4548,19,18-05-2023,Bearing,Predictive,Checked,Leakage,5.1
Drill,76.0549,21.90958588,677.7706,8,21-10-2023,Gearbox,Predictive,Replaced,Overheating,2.4
Lathe,13.3817,35.01023165,593.634,10,25-10-2023,Lubrication,Preventive,Cleaned,No Failure,7.7
Drill,95.9664,77.80445901,632.5165,12,26-12-2023,Bearing,Predictive,Aligned,No Failure,5.3
Drill,22.0672,22.043638,711.1379,13,31-01-2023,Lubrication,Predictive,Replaced,Overheating,0.2
Mill,81.2992,40.32906643,651.672,16,12-10-2024,Bearing,Preventive,Flushed,No Failure,6.4
Mill,56.2015,54.86693843,528.2895,15,20-07-2023,Coupling,Preventive,Tightened,Wear and tear,8.5
Mill,54.7126,59.47724356,504.8348,19,18-12-2023,Lubrication,Predictive,Repaired,Overheating,5
Mill,78.2788,21.74707678,847.4541,6,01-08-2023,Bearing,Preventive,Inspected,Wear and tear,1.9
Lathe,72.5787,75.00356132,930.4292,18,01-07-2023,Coupling,Preventive,Lubricated,Wear and tear,6.9
Mill,79.2859,40.982815,515.7646,18,30-03-2024,Gearbox,Corrective,Checked,Leakage,8.2
Mill,31.3053,76.20519146,747.0611,13,31-10-2023,Motor,Predictive,Tightened,Leakage,0.9
Lathe,15.0687,74.48177185,776.9223,9,21-12-2024,Shaft,Preventive,Cleaned,Leakage,5.1
Mill,61.5393,96.61268749,508.9186,18,16-01-2024,Shaft,Predictive,Tightened,Wear and tear,1.1
Lathe,57.3375,97.68435359,850.6515,12,29-02-2024,Coupling,Predictive,Aligned,No Failure,5.9
Lathe,13.4524,35.1093201,934.4181,16,28-05-2024,Motor,Corrective,Replaced,Leakage,3.8
Lathe,26.0297,64.23702499,655.5653,13,29-10-2023,Motor,Predictive,Flushed,Misalignment,6
Lathe,83.9277,56.15569928,644.3215,16,21-04-2024,Coupling,Preventive,Inspected,Bearing failure,6.4
Drill,45.0899,25.60165626,542.9192,16,16-08-2024,Shaft,Preventive,Lubricated,No Failure,2.5
Drill,64.2308,15.91251681,823.3119,13,05-02-2024,Lubrication,Predictive,Replaced,Wear and tear,5.6
Drill,51.4257,41.39410227,547.4708,7,02-09-2023,Coupling,Corrective,Flushed,Misalignment,5.4
Mill,82.4045,67.5369331,706.4048,8,03-01-2024,Coupling,Predictive,Checked,Wear and tear,8.6
Lathe,36.006,63.71991436,666.2425,18,14-02-2024,Shaft,Corrective,Repaired,Overheating,6.1
Mill,11.0318,76.23653763,570.668,14,20-06-2023,Bearing,Predictive,Refilled,Bearing failure,4.3
Drill,60.6495,51.71397986,738.0467,13,04-05-2024,Lubrication,Preventive,Replaced,Leakage,3.3
Mill,40.1223,12.81929003,582.0853,8,24-04-2023,Lubrication,Predictive,Refilled,No Failure,7.1
Lathe,19.3513,64.38231069,889.993,17,07-07-2024,Bearing,Predictive,Cleaned,Misalignment,2.8
Lathe,62.6431,37.34159658,674.5836,14,25-05-2024,Shaft,Preventive,Checked,No Failure,0.7
Drill,13.4599,26.25903423,839.8765,9,13-01-2023,Bearing,Corrective,Replaced,Overheating,1.5
Mill,69.2741,87.96596163,849.9199,6,31-03-2023,Motor,Predictive,Tightened,Leakage,7.9
Drill,73.1504,20.66822474,628.9888,16,08-08-2023,Coupling,Corrective,Lubricated,No Failure,3.8
Lathe,72.8813,68.61999178,502.3396,15,27-11-2023,Lubrication,Corrective,Replaced,Leakage,6.3
Lathe,58.333,26.33333911,824.7686,17,28-09-2023,Lubrication,Corrective,Aligned,No Failure,8
Drill,37.0788,54.59854336,519.8809,14,27-01-2024,Shaft,Corrective,Tightened,Wear and tear,4.1
Lathe,20.2262,43.11326215,905.6831,7,31-10-2024,Bearing,Predictive,Repaired,Misalignment,0.1
Drill,29.2913,78.62192518,765.0684,19,08-12-2024,Coupling,Corrective,Checked,Bearing failure,0.1
Lathe,38.3206,74.48913124,734.9204,11,22-07-2024,Lubrication,Corrective,Tightened,Wear and tear,1.3
Mill,93.5017,92.64676858,560.0544,7,11-01-2023,Lubrication,Preventive,Checked,Wear and tear,8.6
Mill,61.7855,53.92149782,841.9828,15,18-08-2024,Lubrication,Predictive,Flushed,Misalignment,7.6
Lathe,92.8508,18.0748578,694.3463,15,26-12-2024,Lubrication,Corrective,Aligned,Misalignment,7.5
Mill,68.1566,75.2979646,950.3582,15,15-09-2024,Lubrication,Predictive,Aligned,Leakage,3.8
Lathe,59.1464,19.16491742,800.925,12,20-05-2024,Bearing,Preventive,Flushed,Overheating,7.9
Drill,75.5129,37.82838444,652.8066,8,13-12-2023,Bearing,Predictive,Aligned,Overheating,2.7
Mill,21.3049,67.92401989,745.5458,10,21-03-2024,Gearbox,Preventive,Replaced,No Failure,9
Drill,11.3576,96.21468181,864.1531,12,20-09-2024,Shaft,Preventive,Refilled,Leakage,1.8
Drill,23.4216,83.58385193,670.5285,9,22-11-2024,Coupling,Preventive,Refilled,No Failure,6.6
Mill,41.6617,77.3558456,975.571,10,06-04-2024,Lubrication,Preventive,Repaired,No Failure,7.8
Mill,20.6018,22.08997514,863.9383,8,01-01-2023,Shaft,Predictive,Aligned,Overheating,0.5
Lathe,42.3475,16.47691693,710.268,11,13-04-2023,Shaft,Predictive,Refilled,Leakage,2.2
Mill,53.9489,78.81276351,865.0367,8,08-01-2023,Bearing,Preventive,Inspected,No Failure,3.4
Lathe,68.8779,49.67605833,992.61,6,31-03-2023,Bearing,Preventive,Flushed,Leakage,4.3
Lathe,55.5337,90.19957047,986.7527,12,06-04-2023,Coupling,Corrective,Aligned,Overheating,5.5
Lathe,50.5565,84.78230491,830.5112,9,23-04-2024,Motor,Preventive,Lubricated,Overheating,6.7
Lathe,55.4815,67.32140576,998.3148,11,24-03-2024,Gearbox,Predictive,Tightened,No Failure,8.1
Drill,93.5155,26.63306613,871.5154,13,26-12-2023,Coupling,Preventive,Aligned,Leakage,1.5
Mill,96.8636,71.64302778,826.4028,18,08-03-2024,Bearing,Corrective,Refilled,Overheating,8.8
Drill,91.7062,44.55210237,698.2914,18,06-05-2024,Coupling,Preventive,Refilled,No Failure,8.9
Mill,25.8706,51.45573953,816.9975,10,30-06-2023,Bearing,Preventive,Inspected,Misalignment,5.7
Lathe,70.5206,56.12051002,592.3577,14,28-09-2023,Coupling,Corrective,Replaced,No Failure,1.6
Mill,53.0072,62.90675354,752.865,15,22-05-2024,Shaft,Preventive,Replaced,Misalignment,7.4
Mill,72.4178,56.51731982,684.016,11,30-04-2024,Shaft,Corrective,Tightened,Overheating,7.2
Drill,74.5553,24.32224925,505.337,16,14-02-2023,Motor,Corrective,Lubricated,Leakage,3.7
Drill,91.6279,65.35430304,819.5631,12,26-03-2024,Coupling,Predictive,Cleaned,Misalignment,3.6
Lathe,51.2653,42.72342612,772.8466,15,24-03-2023,Bearing,Corrective,Checked,Misalignment,8.7
Lathe,61.3242,56.49016808,982.2648,16,22-09-2024,Bearing,Preventive,Inspected,Bearing failure,0.8
Lathe,25.0766,48.94106328,511.2305,9,02-04-2023,Motor,Preventive,Aligned,Bearing failure,7.7
Mill,77.8,36.68712997,992.5924,7,24-11-2024,Motor,Predictive,Tightened,Leakage,6.9
Drill,78.5937,72.97793266,648.1849,10,25-02-2023,Lubrication,Preventive,Replaced,Misalignment,4.5
Mill,72.4946,80.82669648,869.8845,8,30-10-2023,Shaft,Predictive,Replaced,Wear and tear,4.9
Drill,43.8915,38.4154667,582.7574,12,10-03-2023,Gearbox,Predictive,Aligned,Bearing failure,1.9
Lathe,95.9048,58.56297608,638.5808,8,10-05-2023,Shaft,Predictive,Inspected,Misalignment,7.7
Mill,20.9177,30.46629838,635.9416,14,22-02-2023,Bearing,Corrective,Refilled,Bearing failure,6.8
Lathe,81.7418,31.38640283,978.9344,19,11-08-2024,Lubrication,Predictive,Replaced,Bearing failure,1.1
Lathe,76.2157,40.12046669,732.9735,11,21-07-2024,Gearbox,Predictive,Inspected,Overheating,8
Drill,28.3721,66.02470983,956.4982,13,19-02-2023,Bearing,Predictive,Refilled,Overheating,7.8
Lathe,43.8264,42.94839214,971.1095,8,13-03-2024,Lubrication,Predictive,Flushed,Overheating,3.3
Mill,13.9998,85.26189547,705.5827,15,19-09-2023,Motor,Corrective,Flushed,Misalignment,3.2
Drill,32.5343,26.39885607,540.8075,17,12-05-2023,Motor,Predictive,Aligned,Overheating,2.7
Lathe,18.659,26.67357908,994.4335,17,11-01-2023,Bearing,Predictive,Tightened,Misalignment,2.7
Lathe,79.2396,29.39925197,772.6017,7,25-04-2023,Bearing,Preventive,Repaired,Misalignment,5.5
Drill,51.9561,55.63257538,882.7481,16,20-08-2023,Bearing,Preventive,Checked,Misalignment,7
Drill,42.1167,49.25203981,600.2937,15,08-07-2024,Lubrication,Predictive,Cleaned,Bearing failure,1
Mill,49.7725,74.39603223,630.9861,18,14-04-2023,Motor,Corrective,Cleaned,No Failure,5.4
Lathe,65.006,88.27204382,555.8066,17,10-03-2024,Motor,Predictive,Tightened,Overheating,2.6
Drill,23.16,20.71355965,727.8366,12,11-01-2023,Lubrication,Corrective,Flushed,Overheating,5.2
Drill,52.4935,73.96534413,800.2519,13,30-03-2024,Bearing,Preventive,Checked,No Failure,3.3
Drill,16.6078,44.54618494,812.3723,16,14-04-2023,Lubrication,Preventive,Refilled,Leakage,4.2
Drill,59.7013,46.90846099,616.5211,18,08-01-2023,Gearbox,Preventive,Lubricated,No Failure,4.9
Mill,18.6432,87.53930718,865.3885,9,28-03-2024,Lubrication,Preventive,Flushed,No Failure,4.4
Lathe,75.3153,34.40332072,632.0115,18,19-04-2024,Coupling,Corrective,Aligned,Leakage,0.1
Mill,34.8207,93.52332648,867.2694,13,08-06-2023,Shaft,Preventive,Checked,Leakage,7.6
Drill,91.5201,41.59793456,967.2853,14,04-03-2024,Gearbox,Predictive,Flushed,Overheating,1.4
Mill,28.6215,82.32106448,880.1972,7,27-05-2024,Gearbox,Predictive,Replaced,No Failure,3.9
Drill,86.9528,17.51069994,786.9593,15,27-11-2024,Coupling,Predictive,Refilled,No Failure,4.7
Drill,42.2225,79.72448733,855.8645,6,31-03-2024,Gearbox,Preventive,Refilled,Overheating,8.2
Drill,58.862,69.38761294,801.3465,14,21-12-2024,Motor,Predictive,Flushed,No Failure,9
Lathe,98.8078,77.45125971,714.9232,14,28-12-2024,Bearing,Corrective,Repaired,Leakage,1.6
Mill,49.4249,25.02411073,594.0055,18,16-02-2024,Coupling,Predictive,Refilled,Overheating,7.3
Drill,38.0631,12.66342825,933.985,12,22-11-2024,Gearbox,Predictive,Inspected,Overheating,6.2
Drill,29.6785,65.64257264,511.8058,17,27-11-2024,Motor,Corrective,Inspected,Wear and tear,6.9
Drill,81.6896,49.15424589,603.3239,9,04-02-2024,Shaft,Predictive,Flushed,No Failure,0.9
Lathe,86.1437,58.86359946,898.0242,10,30-09-2023,Lubrication,Preventive,Lubricated,No Failure,1.6
Drill,23.4808,97.07889056,671.9755,10,27-11-2024,Gearbox,Corrective,Flushed,Wear and tear,1.7
Mill,26.7272,12.52797387,923.2957,7,23-11-2024,Motor,Preventive,Refilled,No Failure,6
Drill,85.5001,51.68183971,781.3458,14,27-10-2024,Motor,Corrective,Lubricated,Leakage,8.2
Mill,96.0268,89.92265311,914.3053,9,08-06-2024,Lubrication,Predictive,Cleaned,No Failure,6.7
Lathe,88.776,12.89575267,722.3734,14,16-10-2024,Shaft,Preventive,Repaired,Wear and tear,5.1
Mill,24.1779,20.5243299,877.413,11,28-06-2024,Bearing,Corrective,Tightened,Misalignment,4.8
Lathe,57.6995,21.32907767,692.9267,15,29-04-2024,Bearing,Preventive,Lubricated,No Failure,9
Lathe,67.8239,77.48947238,877.0362,7,14-11-2023,Lubrication,Preventive,Repaired,No Failure,3.2
Mill,79.8971,65.7935756,689.605,7,11-02-2023,Lubrication,Predictive,Inspected,Leakage,0.8
Mill,27.9117,78.02963985,708.9576,17,17-12-2023,Coupling,Predictive,Lubricated,Wear and tear,3.6
Drill,79.8836,96.08584058,796.7484,12,10-03-2023,Coupling,Corrective,Flushed,Misalignment,3.8
Drill,53.8886,45.63093529,966.2715,15,08-04-2024,Motor,Predictive,Replaced,No Failure,1.2
Mill,10.131,43.96259542,761.6239,14,03-07-2023,Shaft,Predictive,Flushed,Leakage,0.4
Mill,22.5309,40.23016852,948.4099,7,04-02-2023,Gearbox,Predictive,Tightened,Leakage,6.6
Drill,90.586,15.68575318,934.3917,13,15-08-2023,Bearing,Corrective,Cleaned,Misalignment,8.6
Drill,80.9138,98.40104023,786.4691,18,25-11-2023,Gearbox,Predictive,Refilled,No Failure,0.1
Drill,79.154,98.15387213,849.9994,14,29-12-2023,Coupling,Corrective,Aligned,No Failure,5.1
Lathe,90.1811,10.81250711,965.7305,8,26-03-2024,Motor,Predictive,Aligned,No Failure,6.1
Mill,50.1716,53.7247632,654.8001,14,02-11-2024,Motor,Predictive,Lubricated,No Failure,2.3
Mill,15.5937,33.12276434,883.0509,11,12-05-2024,Gearbox,Preventive,Cleaned,No Failure,0.2
Lathe,85.8386,80.93056248,700.3055,6,21-08-2023,Shaft,Preventive,Inspected,Leakage,6.6
Lathe,60.9642,63.05663382,676.4565,16,25-11-2023,Motor,Predictive,Flushed,Overheating,7.6
Mill,58.556,86.04426684,867.8521,17,11-12-2024,Lubrication,Predictive,Cleaned,Misalignment,5.3
Lathe,70.438,62.96948331,715.1981,6,15-01-2024,Coupling,Predictive,Checked,No Failure,8.5
Mill,39.5406,50.52012094,947.1523,9,23-11-2024,Gearbox,Corrective,Aligned,Misalignment,4.4
Lathe,93.5833,81.29013858,696.9496,13,28-06-2023,Gearbox,Predictive,Tightened,Bearing failure,7.9
Mill,92.6018,83.19972045,784.1303,13,20-03-2023,Motor,Predictive,Lubricated,Misalignment,4.5
Mill,97.934,46.71661563,695.8189,18,22-01-2023,Lubrication,Predictive,Inspected,Leakage,8.5
Mill,91.9188,19.00004968,920.1587,12,21-12-2023,Lubrication,Corrective,Repaired,No Failure,2.8
Lathe,65.921,25.90837613,758.6075,12,28-06-2023,Gearbox,Corrective,Cleaned,No Failure,8.8
Drill,58.231,51.93545351,507.2692,11,02-01-2023,Coupling,Preventive,Aligned,Wear and tear,6.2
Mill,29.2451,11.30558343,511.3671,14,11-04-2023,Coupling,Predictive,Tightened,Bearing failure,6.4
Lathe,42.3819,64.00447602,805.7156,10,09-06-2023,Motor,Corrective,Cleaned,No Failure,7.6
Mill,14.7106,43.29010908,570.0455,10,29-04-2024,Coupling,Corrective,Flushed,Bearing failure,2.3
Lathe,21.5775,56.10109883,720.579,12,30-08-2024,Gearbox,Predictive,Lubricated,Bearing failure,4.5
Lathe,97.8314,39.04330113,772.8,14,31-05-2023,Coupling,Corrective,Inspected,No Failure,0.5
